date,location,state,latitude,longitude,rainfall_mm,source
2020-01-14,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-14,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-14,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-14,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-14,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-15,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-15,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-15,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-15,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-15,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-15,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-15,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-15,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-15,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-15,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-16,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-16,Port Harcourt,Rivers,4.8156,7.0498,15.927940368652344,CHIRPS-2.0
2020-01-16,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-16,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-16,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-16,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-16,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-16,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-16,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-16,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-17,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-17,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-17,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-17,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-17,Makurdi,Benue,7.7336,8.5219,2.3194119930267334,CHIRPS-2.0
2020-01-17,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-17,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-17,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-17,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-17,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-18,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-18,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-18,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-18,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-18,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-18,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-18,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-18,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-18,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-18,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-19,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-19,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-19,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-19,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-19,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-19,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-19,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-19,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-19,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-19,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-20,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-20,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-20,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-20,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-20,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-20,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-20,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-20,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-20,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-20,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-21,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-21,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-21,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-21,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-21,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-21,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-21,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-21,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-21,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-21,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-22,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-22,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-22,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-22,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-22,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-22,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-22,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-22,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-22,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-22,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-23,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-23,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-23,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-23,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-23,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-23,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-23,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-23,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-23,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-23,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-24,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-24,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-24,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-24,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-24,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-24,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-24,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-24,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
